Ranking,Country,Political Context 2022,Economic Context 2022,Legal Framework 2022,Safety Score 2022,Sociocultural Context 2022,Abuse Score 2021,Underlying Situation Score 2021,Global Score 2022,Global Score 2021,Global Score 2020,Global Score 2019
1,Norway,94.89,90.38,92.23,92.03,93.71,0,6.72,92.65,6.72,7.84,7.82
2,Denmark,94.34,83.67,89.18,92.97,91.17,0,8.57,90.27,8.57,8.13,9.87
3,Sweden,91.96,87.66,90.27,84.14,90.18,0,7.24,88.84,7.24,9.25,8.31
4,Estonia,91.11,81.97,87.87,93.2,90,0,15.25,88.83,15.25,12.61,12.27
5,Finland,90.4,82.03,86.64,92.26,90.77,0,6.99,88.42,6.99,7.93,7.9
6,Ireland,89.24,79.08,85.09,95.58,92.5,0,11.91,88.3,11.91,12.6,15
7,Portugal,91.86,77.41,84.21,88.73,93.14,0,10.11,87.07,10.11,11.83,12.63
8,Costa Rica,81.62,72.96,87.72,94.78,92.5,10.99,8.21,85.92,8.76,10.53,12.24
9,Lithuania,87.01,72.16,84.46,87.37,89.71,0,20.15,84.14,20.15,21.19,22.06
10,Liechtenstein,80.36,68.78,84.74,96.46,89.8,0,19.49,84.03,19.49,19.52,20.49
11,New Zealand,90.15,75.26,74.78,87.76,89.75,0,10.04,83.54,10.04,10.69,10.75
12,Jamaica,74.85,71.94,82.46,92.52,95,0,9.96,83.35,9.96,10.51,11.13
13,Seychelles,80.45,69.13,85.31,91.5,90.25,0,25.66,83.33,25.66,28.66,29.41
14,Switzerland,90,68.37,80.99,85.92,88.33,6.93,10.55,82.72,10.55,10.62,10.52
15,Iceland,86.21,65.56,82.68,91.5,87.5,0,15.37,82.69,15.37,15.12,14.71
16,Germany,87.03,80.07,87.08,66.58,89.47,43.31,8.25,82.04,15.24,12.16,14.6
17,Timor-Leste,85.45,68.71,85.96,93.65,75.67,0,29.11,81.89,29.11,29.9,29.93
18,Namibia,72.97,69.8,82.98,91.84,91.6,10.99,19.72,81.84,19.72,19.25,18.95
19,Canada,82.27,71.17,80.26,82.99,92,0,15.25,81.74,15.25,15.29,15.69
20,Czech Republic,79.66,61.56,84.21,88.81,88.44,0,23.38,80.54,23.38,23.57,24.89
21,Luxembourg,82.94,66.33,72.93,88.14,88.71,0,17.56,79.81,17.56,15.46,15.66
22,Latvia,78.96,64.58,80.89,84.06,87.36,0,19.26,79.17,19.26,18.56,19.53
23,Belgium,75.03,71.22,79.3,81.35,87.4,6.93,11.69,78.86,11.69,12.57,12.07
24,UK,80.57,72.75,76.63,79.33,84.29,0,21.55,78.71,21.55,23.22,24.74
25,Trinidad and Tobago,73.94,67.86,74.56,92.52,84.5,41.9,17.89,78.68,22.6,22.92,22.21
26,France,79.85,67.86,86.51,69.05,89.38,0,23.02,78.53,23.02,22.67,23.58
27,Slovakia,71.44,67.98,82.02,84.01,86.38,13.86,8.74,78.37,9.67,9.96,8.63
28,Netherlands,86.3,82.86,87.28,47.09,86.1,10.99,28.99,77.93,28.99,28.78,28.3
29,Argentina,76.36,51.53,90.68,82.06,85.75,6.93,25.6,77.28,25.6,27.9,27.9
30,Dominican Republic,71.52,62.24,85.96,72.79,92,10.99,16.34,76.9,16.34,15.78,15.33
31,Austria,77.82,61.43,74.54,84.29,81.2,23.98,19.7,76.74,20.44,22.16,21.99
32,Spain,72.73,63.38,82.16,83.4,81.89,0,28.86,76.71,28.86,28.9,29.81
33,Bhutan,78.79,62.24,70.39,93.88,77,0,25.61,76.46,25.61,26.63,26.63
34,Guyana,70.06,67.76,75.61,87.21,81.4,45.64,15.61,76.41,21.59,22.41,22.19
35,South Africa,75.96,62.59,84.36,72.39,82.5,0,20.09,75.56,20.09,20.15,19.81
36,Cabo Verde,72.55,62.76,77.98,88.16,75.4,0,23.86,75.37,23.86,23.76,24.98
37,Ivory Coast,74.89,58.45,75.94,81.6,81.43,0,19.79,74.46,19.79,20.21,16.55
38,Taiwan,74.78,51.88,79.01,87.02,77.69,6.93,31.61,74.08,31.61,31.16,31.21
39,Australia,77.17,63.44,64.18,79.88,84.17,6.93,23.17,73.77,23.17,23.47,24.53
40,Moldova,70.15,47.83,83,80.48,85.88,39.7,20.03,73.47,23.93,23.85,25.69
41,Burkina Faso,78.99,67.69,75.58,55.52,87.83,0,23.43,73.12,23.43,23.7,24.94
42,United States,72.99,59.33,77.32,72.63,81.43,0,16.38,72.74,16.38,15.79,16.06
43,South Korea,71.15,55.31,72.81,81.5,79.8,0,19.24,72.11,19.24,18.25,18.25
44,Uruguay,70.3,49.32,83.63,84.58,72.33,17.92,29.61,72.03,29.61,30.28,30.36
45,Samoa,61.82,56.12,64.91,89.12,85,0,27.61,71.39,27.61,27.5,27.5
46,Sierra Leone,73.71,50.38,78.4,75.14,77.5,0,27.95,71.03,27.95,28.51,29.03
47,Belize,70,52.04,63.6,85.71,82,0,24.59,70.67,24.59,27.27,25.41
48,Croatia,68.26,50.46,79.19,78.08,76.09,16.09,28.83,70.42,28.83,28.6,28.98
49,Tonga,69.7,53.06,66.67,89.8,69.5,0,16.95,69.74,16.95,17.5,16.38
50,The Gambia,71.11,51.36,67.69,74.74,81.33,0,23.32,69.25,23.32,23.23,24.63
51,Armenia,66.26,44.44,77.88,79.91,76.33,6.93,23.1,68.97,23.1,22.64,22.31
52,Suriname,67.88,55.1,62.28,75.51,84,0,23.97,68.95,23.98,23.78,26.04
53,Andorra,68.12,50.41,69.12,87.48,68.8,0,24.91,68.79,24.91,25.91,25.67
54,Slovenia,59.32,47.7,79.11,76.61,79.94,0,31.67,68.54,31.67,31.28,31.66
55,OECS,62.91,48.37,68.25,83.13,79.8,27.73,22.63,68.49,23.39,23.69,24.98
56,Romania,66.77,46.77,76.46,70.63,81.67,13.86,28.44,68.46,28.44,28.25,29.26
57,North Macedonia,66.16,43.71,81.29,77.85,73.17,17.92,21.33,68.44,21.33,22.26,20.81
58,Italy,65.89,47.52,73.93,73.48,80,19.46,30.32,68.16,30.32,29.33,29.68
